date;tmax;prcp;snow;wspd;wpgt;max_water_temperature;avg_water_level;suspended_solids_concentration;max_flow_rate;swimming;swimming_hardcore;ice_bath;swimming_hardcore_new
2011-07-21;22,6;0,1;0,0;14,0;43,2;14,8;156,0;70,86;234,0;0;0;0;0
2011-07-22;19,2;3,4;0,0;13,3;41,8;14,8;131,0;62,72;172,0;0;0;0;0
2011-07-23;15,6;1,9;0,0;7,6;32,0;14,3;120,0;51,23;153,0;0;0;0;0
2011-07-24;16,9;0,1;0,0;11,5;36,4;13,7;109,0;39,74;141,0;0;0;0;0
2011-07-25;18,9;0,0;0,0;7,2;20,9;13,9;105,0;28,25;126,0;0;0;0;0
2011-07-26;23,0;0,0;0,0;7,2;24,8;15,1;90,0;18,13;102,0;0;0;0;0
2011-07-27;25,2;0,0;0,0;7,2;27,0;16,5;86,0;15,61;90,2;0;0;0;0
2011-07-28;23,6;7,7;0,0;10,1;29,5;16,7;83,0;14,25;84,3;0;1;0;1
2011-07-29;22,7;0,8;0,0;9,7;34,6;15,9;87,0;13,07;94,3;0;0;0;0
2011-07-30;17,9;0,0;0,0;11,5;31,7;15,4;83,0;12,66;87,9;0;0;0;0
2011-07-31;20,5;0,0;0,0;10,1;28,1;15,5;84,0;12,35;89,1;0;1;0;1
2011-08-01;22,0;0,0;0,0;6,8;23,8;16,1;77,0;13,62;81,1;0;1;0;1
2011-08-02;27,2;0,0;0,0;8,3;28,1;17,0;76,0;29,92;77,3;0;1;0;1
2011-08-03;27,0;8,5;0,0;7,6;45,7;16,8;71,0;49,92;76,0;0;1;0;1
2011-08-04;25,3;0,9;0,0;9,7;30,6;16,7;89,0;67,84;101,0;0;0;0;0
2011-08-05;26,7;8,5;0,0;7,2;52,2;16,7;96,0;66,22;110,0;0;0;0;0
2011-08-06;28,6;0,9;0,0;6,5;40,0;17,6;85,0;59,77;91,2;0;0;0;0
2011-08-07;19,3;11,0;0,0;8,3;35,6;17,2;93,0;53,32;160,0;0;0;0;0
2011-08-08;21,3;0,4;0,0;15,8;59,4;15,4;143,0;47,01;190,0;0;0;0;0
2011-08-09;18,5;9,0;0,0;15,1;74,2;14,8;135,0;41,48;182,0;0;0;0;0
2011-08-10;18,6;0,0;0,0;11,2;35,3;14,8;133,0;36,08;180,0;0;0;0;0
2011-08-11;24,8;0,0;0,0;7,2;20,2;15,1;132,0;30,94;178,0;0;0;0;0
2011-08-12;25,6;0,8;0,0;11,9;41,0;16,2;110,0;28,58;142,0;0;0;0;0
2011-08-13;24,6;1,9;0,0;9,7;33,1;16,8;97,0;26,96;110,0;0;0;0;0
2011-08-14;29,7;11,4;0,0;9,0;35,6;17,0;83,0;25,34;89,7;0;1;0;1
2011-08-15;23,4;13,8;0,0;9,0;25,9;16,8;95,0;23,72;146,0;0;0;0;0
2011-08-16;25,8;0,0;0,0;5,4;19,1;16,3;122,0;21,99;149,0;0;0;0;0
2011-08-17;27,5;0,0;0,0;6,1;18,4;17,3;102,0;19,39;128,0;0;0;0;0
2011-08-18;31,9;0,2;0,0;6,1;32,8;18,4;86,0;16,61;86,1;0;1;0;1
2011-08-19;29,4;2,9;0,0;13,7;49,3;18,4;85,0;14,17;84,7;0;1;0;1
2011-08-20;28,5;0,0;0,0;7,9;20,2;18,5;74,0;13,38;77,5;0;1;0;1
2011-08-21;33,6;0,0;0,0;6,5;20,2;18,8;60,0;12,8;56,8;1;1;0;0
2011-08-22;33,6;0,0;0,0;7,6;22,0;19,5;64,0;12,21;63,4;1;1;0;0
2011-08-23;34,6;0,0;0,0;8,3;31,7;19,5;73,0;11,65;73,0;1;1;0;0
2011-08-24;32,4;3,9;0,0;8,3;41,8;19,1;72,0;11,32;72,6;1;1;0;0
2011-08-25;30,2;0,0;0,0;10,4;29,9;19,6;74,0;11,0;75,9;0;1;0;1
2011-08-26;35,8;1,1;0,0;10,4;53,6;19,5;66,0;10,42;61,8;0;0;0;0
2011-08-27;18,8;3,0;0,0;15,5;49,3;19,1;65,0;9,78;64,1;0;0;0;0
2011-08-28;21,9;0,0;0,0;8,6;23,0;16,0;56,0;9,13;49,2;0;1;0;1
2011-08-29;22,4;0,0;0,0;10,4;32,0;16,2;50,0;8,57;41,4;0;1;0;1
2011-08-30;20,5;0,0;0,0;6,1;18,4;17,0;49,0;8,75;42,8;0;1;0;1
2011-08-31;24,8;0,0;0,0;6,8;23,4;17,2;49,0;9,12;38,8;0;1;0;1
2011-09-01;20,2;2,4;0,0;6,1;18,7;17,3;53,0;9,49;47,0;0;1;0;1
2011-09-02;23,4;2,6;0,0;6,5;31,0;16,2;49,0;9,87;38,9;0;1;0;1
2011-09-03;28,4;0,0;0,0;7,2;27,7;17,2;53,0;10,24;64,8;0;1;0;1
2011-09-04;27,4;24,9;0,0;9,0;37,1;17,9;51,0;10,61;51,0;0;1;0;1
2011-09-05;17,8;11,4;0,0;11,9;52,9;18,0;65,0;10,84;70,5;0;0;0;0
2011-09-06;23,1;0,0;0,0;6,8;24,1;16,6;64,0;10,04;68,4;0;1;0;1
2011-09-07;20,8;2,3;0,0;18,0;63,7;16,1;54,0;9,01;46,6;0;0;0;0
2011-09-08;17,8;1,8;0,0;13,7;36,4;15,9;54,0;8,12;45,7;0;0;0;0
2011-09-09;24,3;0,0;0,0;11,2;43,2;16,4;48,0;8,0;41,1;0;1;0;1
2011-09-10;28,3;0,0;0,0;8,3;19,4;17,2;42,0;8,0;30,5;0;1;0;1
2011-09-11;30,2;6,1;0,0;8,6;69,8;17,8;40,0;8,0;27,9;0;0;0;0
2011-09-12;23,9;0,0;0,0;13,3;40,3;18,1;46,0;8,0;36,4;0;1;0;1
2011-09-13;25,1;0,9;0,0;13,0;37,4;17,6;49,0;8,41;39,2;0;1;0;1
2011-09-14;19,2;7,7;0,0;8,3;38,2;17,5;54,0;11,06;47,6;0;0;0;0
2011-09-15;19,8;0,0;0,0;6,8;22,7;16,6;45,0;14,06;39,4;0;0;0;0
2011-09-16;23,5;3,8;0,0;6,5;18,7;16,4;38,0;17,06;27,2;0;1;0;1
2011-09-17;26,9;14,2;0,0;8,3;31,7;17,0;35,0;20,06;24,2;0;1;0;1
2011-09-18;16,2;21,2;0,0;9,4;55,1;16,8;48,0;23,06;72,2;0;0;0;0
2011-09-19;10,3;14,6;0,0;8,3;22,3;15,0;98,0;23,94;131,0;0;0;0;0
2011-09-20;14,8;0,0;0,0;6,8;20,2;13,4;102,0;14,01;130,0;0;0;0;0
2011-09-21;18,7;0,0;0,0;6,1;18,4;14,4;82,0;10,47;91,4;0;0;0;0
2011-09-22;19,2;0,0;0,0;7,2;24,8;14,9;78,0;8,8;80,0;0;0;0;0
2011-09-23;20,7;0,0;0,0;6,1;25,2;15,2;66,0;7,38;63,2;0;1;0;1
2011-09-24;21,7;0,0;0,0;7,6;22,0;15,4;66,0;6,88;62,8;0;1;0;1
2011-09-25;23,2;0,0;0,0;4,7;13,7;15,3;54,0;6,46;46,7;0;1;0;1
2011-09-26;23,6;0,0;0,0;5,8;23,0;15,3;49,0;6,07;37,5;0;1;0;1
2011-09-27;23,8;0,0;0,0;5,8;18,7;15,5;55,0;6,0;45,7;0;1;0;1
2011-09-28;23,5;0,0;0,0;9,4;34,2;15,4;54,0;6,0;44,5;0;1;0;1
2011-09-29;21,1;0,0;0,0;9,0;30,6;15,4;53,0;6,0;43,2;0;1;0;1
2011-09-30;23,4;0,0;0,0;6,5;26,6;15,1;48,0;6,19;36,8;0;1;0;1
2011-10-01;23,5;0,0;0,0;4,7;15,5;15,1;50,0;7,26;42,4;0;1;0;1
2011-10-02;23,0;0,0;0,0;5,4;20,5;15,1;40,0;8,46;29,6;0;1;0;1
2011-10-03;23,6;0,0;0,0;6,1;23,8;15,4;34,0;9,65;21,3;0;1;0;1
2011-10-04;23,7;0,0;0,0;9,7;33,1;15,5;35,0;10,84;22,4;0;1;0;1
2011-10-05;20,9;0,0;0,0;7,6;25,2;15,0;38,0;11,31;26,2;0;0;0;0
2011-10-06;23,1;5,3;0,0;14,8;74,5;15,3;44,0;7,83;30,9;0;0;0;0
2011-10-07;11,2;8,3;0,0;16,2;60,8;14,9;53,0;4,79;43,4;0;0;0;0
2011-10-08;8,4;13,6;0,0;16,9;54,7;13,2;57,0;6,68;52,4;0;0;0;0
2011-10-09;10,3;2,2;0,0;10,1;29,2;11,2;73,0;9,19;69,4;0;0;0;0
2011-10-10;15,7;4,8;0,0;17,3;46,4;11,4;107,0;17,96;280,0;0;0;0;0
2011-10-11;21,6;0,0;0,0;18,4;45,4;12,4;188,0;76,36;288,0;0;0;0;0
2011-10-12;14,7;4,2;0,0;20,2;54,0;12,0;166,0;83,9;246,0;0;0;0;0
2011-10-13;12,1;1,5;0,0;9,7;33,1;11,5;153,0;69,94;206,0;0;0;0;0
2011-10-14;11,9;0,0;0,0;10,8;31,0;11,2;118,0;54,07;177,0;0;0;0;0
2011-10-15;11,8;0,0;0,0;12,2;36,0;11,2;88,0;43,52;101,0;0;0;0;0
2011-10-16;13,7;0,0;0,0;8,3;21,6;11,1;68,0;33,66;70,0;0;0;0;0
2011-10-17;11,4;0,0;0,0;6,1;21,2;10,6;63,0;24,86;60,6;0;0;1;0
2011-10-18;20,7;0,0;0,0;10,4;26,6;12,2;76,0;21,93;73,0;0;0;0;0
2011-10-19;12,8;6,3;0,0;9,7;29,2;11,2;71,0;19,91;70,7;0;0;0;0
2011-10-20;10,1;0,1;0,0;7,9;24,1;10,6;66,0;17,88;57,6;0;0;1;0
2011-10-21;8,7;0,0;0,0;7,9;25,2;9,6;70,0;15,99;66,3;0;0;0;0
2011-10-22;8,5;0,0;0,0;8,6;25,6;9,4;63,0;14,75;60,7;0;0;1;0
2011-10-23;11,2;0,0;0,0;6,8;26,6;9,0;52,0;13,59;43,2;0;0;1;0
2011-10-24;14,2;0,0;0,0;10,1;33,5;9,2;49,0;12,43;41,0;0;0;1;0
2011-10-25;13,0;0,0;0,0;8,6;22,7;9,4;58,0;11,27;47,6;0;0;1;0
2011-10-26;10,4;0,9;0,0;7,2;22,0;9,9;61,0;10,1;54,8;0;0;1;0
2011-10-27;11,5;0,0;0,0;9,0;26,6;10,3;59,0;9,24;49,4;0;0;1;0
2011-10-28;15,0;0,0;0,0;5,0;14,8;10,2;67,0;9,87;65,4;0;0;0;0
2011-10-29;12,1;0,0;0,0;6,8;19,8;9,8;62,0;10,7;53,5;0;0;1;0
2011-10-30;14,6;0,0;0,0;5,4;16,2;9,7;53,0;11,53;42,9;0;0;1;0
2011-10-31;7,6;0,0;0,0;5,4;13,7;9,7;48,0;12,36;38,0;0;0;1;0
2011-11-01;11,8;0,0;0,0;5,8;14,0;10,1;34,0;13,19;27,1;0;0;1;0
2011-11-02;9,2;0,0;0,0;7,2;20,2;9,9;34,0;13,66;26,4;0;0;1;0
2011-11-03;12,6;0,0;0,0;9,4;21,6;9,6;45,0;12,15;34,5;0;0;1;0
2011-11-04;13,9;0,0;0,0;8,6;22,0;9,5;46,0;10,35;33,5;0;0;1;0
2011-11-05;17,4;0,0;0,0;6,5;16,2;10,1;46,0;8,54;36,2;0;0;1;0
2011-11-06;16,6;0,0;0,0;6,8;21,2;10,1;40,0;6,73;28,1;0;0;1;0
2011-11-07;9,5;0,0;0,0;6,8;17,3;10,0;37,0;4,92;24,5;0;0;1;0
2011-11-08;15,1;0,0;0,0;5,4;13,3;10,2;37,0;3,37;24,5;0;0;1;0
2011-11-09;9,4;0,0;0,0;5,0;13,7;9,7;40,0;3,79;28,5;0;0;1;0
2011-11-10;6,2;0,1;0,0;6,8;19,1;9,2;40,0;4,64;26,3;0;0;1;0
2011-11-11;6,1;0,0;0,0;11,2;32,0;8,8;38,0;5,48;24,7;0;0;0;0
2011-11-12;9,2;0,0;0,0;6,1;15,8;8,7;34,0;6,33;23,6;0;0;1;0
2011-11-13;4,9;0,0;0,0;4,7;16,6;8,4;31,0;7,17;18,2;0;0;1;0
2011-11-14;1,3;0,0;0,0;5,0;15,1;7,9;29,0;7,97;19,3;0;0;1;0
2011-11-15;1,3;0,0;0,0;7,6;27,7;7,6;33,0;8,51;21,4;0;0;1;0
2011-11-16;1,5;0,0;0,0;7,9;26,3;7,2;35,0;9,02;21,6;0;0;1;0
2011-11-17;10,3;0,0;0,0;6,1;27,4;7,5;31,0;9,52;18,6;0;0;1;0
2011-11-18;11,6;0,0;0,0;5,8;18,7;7,3;29,0;10,03;16,9;0;0;1;0
2011-11-19;4,1;0,0;0,0;5,8;16,2;6,9;27,0;10,53;15,3;0;0;1;0
2011-11-20;6,5;0,0;0,0;7,2;22,7;6,7;27,0;11,03;15,4;0;0;1;0
2011-11-21;11,4;0,0;0,0;6,5;18,0;6,8;27,0;11,41;15,1;0;0;1;0
2011-11-22;5,0;0,0;0,0;5,0;12,6;6,6;30,0;10,73;20,4;0;0;1;0
2011-11-23;-0,3;0,0;0,0;6,5;16,6;6,2;37,0;9,79;27,9;0;0;1;0
2011-11-24;-0,4;0,0;0,0;6,8;19,4;6,2;39,0;8,86;26,5;0;0;1;0
2011-11-25;5,4;1,0;0,0;5,4;17,6;6,6;34,0;8,02;20,1;0;0;1;0
2011-11-26;6,2;0,0;0,0;6,5;20,2;6,5;28,0;7,56;17,4;0;0;1;0
2011-11-27;14,9;0,0;0,0;11,2;33,8;6,5;29,0;7,16;17,6;0;0;0;0
2011-11-28;9,3;0,0;0,0;8,3;27,0;7,0;28,0;6,75;15,8;0;0;1;0
2011-11-29;9,1;0,0;0,0;5,8;16,9;7,0;27,0;6,34;15,9;0;0;1;0
2011-11-30;11,4;0,0;0,0;7,9;27,7;6,9;27,0;6,02;15,2;0;0;1;0
2011-12-01;13,8;0,0;0,0;5,8;20,2;7,5;27,0;6,0;15,1;0;0;1;0
2011-12-02;16,6;3,7;0,0;7,9;30,6;7,1;27,0;6,03;14,8;0;0;1;0
2011-12-03;8,9;0,7;0,0;15,1;54,0;7,0;27,0;6,21;15,2;0;0;0;0
2011-12-04;12,6;6,1;0,0;25,2;69,1;7,6;27,0;6,4;17,8;0;0;0;0
2011-12-05;12,5;1,9;0,0;20,9;91,1;7,6;29,0;6,59;16,7;0;0;0;0
2011-12-06;4,5;4,6;0,0;19,4;56,2;6,8;29,0;6,78;16,7;0;0;0;0
2011-12-07;7,9;6,9;0,0;22,7;77,0;6,2;30,0;6,95;19,4;0;0;0;0
2011-12-08;7,0;0,0;0,0;18,4;61,2;5,8;35,0;6,85;22,4;0;0;0;0
2011-12-09;11,9;15,0;0,0;20,2;63,0;6,1;34,0;6,69;20,4;0;0;0;0
2011-12-10;2,2;12,2;10,0;6,1;17,3;6,1;34,0;6,52;21,9;0;0;1;0
2011-12-11;4,7;0,0;0,0;6,1;19,1;6,1;38,0;6,35;24,0;0;0;1;0
2011-12-12;5,7;4,1;0,0;10,8;40,3;6,0;35,0;6,18;20,9;0;0;1;0
2011-12-13;10,0;0,0;0,0;11,2;55,1;5,7;37,0;6,03;23,1;0;0;0;0
2011-12-14;10,2;0,8;0,0;15,8;64,8;5,8;33,0;6,0;19,4;0;0;0;0
2011-12-15;7,0;0,1;0,0;14,4;59,8;5,5;34,0;6,0;21,0;0;0;0;0
2011-12-16;11,2;6,5;0,0;22,0;100,1;5,8;36,0;6,0;23,1;0;0;0;0
2011-12-17;2,8;0,3;0,0;21,6;53,6;5,4;38,0;6,0;26,2;0;0;0;0
2011-12-18;2,4;1,5;0,0;13,0;38,2;4,6;35,0;6,0;21,8;0;0;0;0
2011-12-19;1,9;0,0;0,0;10,1;29,5;4,5;33,0;6,06;19,0;0;0;1;0
2011-12-20;1,2;6,0;0,0;9,4;29,5;4,3;30,0;6,64;17,9;0;0;1;0
2011-12-21;2,3;4,3;40,0;15,1;41,4;4,2;32,0;7,34;18,9;0;0;0;0
2011-12-22;5,0;9,3;20,0;9,0;30,2;4,5;33,0;8,06;19,8;0;0;1;0
2011-12-23;7,4;0,8;0,0;10,8;28,1;5,3;70,0;8,86;94,5;0;0;0;0
2011-12-24;6,7;2,2;0,0;19,4;59,0;4,7;74,0;9,67;87,8;0;0;0;0
2011-12-25;4,9;0,1;0,0;12,6;34,6;4,8;55,0;10,47;50,1;0;0;0;0
2011-12-26;7,2;0,0;0,0;7,2;22,3;4,9;45,0;11,28;34,8;0;0;1;0
2011-12-27;8,0;0,0;0,0;5,0;16,2;4,7;43,0;12,09;31,9;0;0;1;0
2011-12-28;6,3;0,0;0,0;6,5;25,2;4,7;35,0;12,9;22,7;0;0;1;0
2011-12-29;4,3;1,6;0,0;18,0;64,4;4,4;39,0;13,7;28,0;0;0;0;0
2011-12-30;4,4;1,3;0,0;23,4;78,8;4,3;47,0;14,51;35,3;0;0;0;0
2011-12-31;7,0;15,8;0,0;10,4;38,2;4,3;51,0;15,32;38,4;0;0;0;0
2012-01-01;12,0;0,2;0,0;14,0;40,0;4,9;97,0;16,13;156,0;0;0;0;0
2012-01-02;11,9;0,9;0,0;13,0;54,7;5,0;94,0;16,74;115,0;0;0;0;0
2012-01-03;9,7;2,4;0,0;13,3;56,9;5,2;88,0;15,73;88,6;0;0;0;0
2012-01-04;10,7;3,8;0,0;24,1;67,3;5,1;90,0;14,33;92,5;0;0;0;0
2012-01-05;7,4;8,1;0,0;32,4;100,4;4,8;90,0;12,97;96,2;0;0;0;0
2012-01-06;2,6;2,3;0,0;22,3;65,2;4,5;96,0;11,74;101,0;0;0;0;0
2012-01-07;3,8;11,1;0,0;23,4;62,3;4,4;87,0;10,53;98,2;0;0;0;0
2012-01-08;3,4;3,8;10,0;16,6;46,1;4,6;73,0;9,31;63,6;0;0;0;0
2012-01-09;4,2;3,7;0,0;17,6;46,4;4,6;70,0;8,18;63,7;0;0;0;0
2012-01-10;5,9;1,7;0,0;15,5;45,0;5,0;75,0;7,76;70,1;0;0;0;0
2012-01-11;6,2;0,0;0,0;7,6;23,8;4,9;75,0;7,5;71,5;0;0;0;0
2012-01-12;8,0;0,0;0,0;13,0;55,4;4,8;68,0;7,24;62,8;0;0;0;0
2012-01-13;4,0;1,3;0,0;22,0;63,4;4,6;69,0;6,98;61,4;0;0;0;0
2012-01-14;1,5;0,1;0,0;14,8;52,6;4,4;73,0;6,66;66,8;0;0;0;0
2012-01-15;1,1;0,0;0,0;6,5;16,2;4,1;58,0;6,34;53,9;0;0;1;0
2012-01-16;-0,6;0,0;0,0;6,5;19,4;3,5;49,0;5,97;38,8;0;0;1;0
2012-01-17;1,8;0,0;0,0;6,5;19,1;2,8;57,0;5,09;46,6;0;0;1;0
2012-01-18;9,0;1,6;0,0;6,5;33,5;3,3;56,0;4,1;44,3;0;0;1;0
2012-01-19;9,5;16,5;0,0;30,6;83,5;4,8;54,0;3,46;41,1;0;0;0;0
2012-01-20;7,8;13,2;0,0;17,6;72,0;5,0;71,0;6,14;88,0;0;0;0;0
2012-01-21;8,7;9,7;60,0;20,9;83,2;3,8;88,0;9,64;89,5;0;0;0;0
2012-01-22;7,2;1,4;0,0;28,8;78,1;4,3;109,0;13,14;141,0;0;0;0;0
2012-01-23;5,9;7,0;0,0;17,6;53,6;4,5;114,0;16,19;131,0;0;0;0;0
2012-01-24;2,2;1,3;20,0;11,5;34,9;4,3;108,0;15,08;123,0;0;0;0;0
2012-01-25;3,6;0,0;30,0;6,5;18,4;3,8;89,0;12,93;97,1;0;0;0;0
2012-01-26;0,8;0,1;30,0;10,8;31,0;3,6;81,0;10,79;82,6;0;0;0;0
2012-01-27;1,6;3,5;30,0;5,4;14,0;4,2;77,0;8,92;78,2;0;0;0;0
2012-01-28;0,2;1,7;40,0;6,8;18,7;4,5;68,0;7,94;62,4;0;0;0;0
2012-01-29;-0,8;0,0;50,0;10,1;25,6;4,5;62,0;7,03;51,6;0;0;0;0
2012-01-30;-1,7;0,0;40,0;6,5;17,3;3,8;64,0;6,12;58,2;0;0;0;0
2012-01-31;-2,5;0,0;40,0;10,1;29,5;3,6;65,0;5,36;59,1;0;0;0;0
2012-02-01;-3,8;0,0;40,0;13,3;49,7;3,1;67,0;5,33;67,6;0;0;0;0
2012-02-02;-5,3;0,0;40,0;19,4;48,2;2,5;66,0;6,22;57,8;0;0;0;0
2012-02-03;-8,4;0,0;40,0;11,2;31,3;1,8;61,0;5,93;56,5;0;0;0;0
2012-02-04;-9,1;0,0;40,0;9,7;27,7;1,1;56,0;5,91;45,9;0;0;0;0
2012-02-05;-7,5;0,0;50,0;10,4;32,4;0,5;50,0;4,82;39,7;0;0;0;0
2012-02-06;-9,4;1,1;50,0;7,2;19,4;0,6;48,0;4,39;42,1;0;0;0;0
2012-02-07;-9,7;1,3;60,0;10,4;32,0;1,0;57,0;5,05;49,2;0;0;0;0
2012-02-08;-5,9;0,0;60,0;11,5;33,8;1,1;58,0;8,57;51,5;0;0;0;0
2012-02-09;-6,3;2,5;70,0;10,4;36,4;1,3;58,0;6,02;47,4;0;0;0;0
2012-02-10;-8,4;0,3;110,0;10,4;32,0;1,3;52,0;5,9;44,7;0;0;0;0
2012-02-11;-8,3;0,0;100,0;13,0;36,7;1,2;45,0;4,24;33,8;0;0;0;0
2012-02-12;-7,1;0,0;100,0;6,8;20,5;0,7;38,0;3,67;25,5;0;0;0;0
2012-02-13;-4,5;3,9;100,0;9,7;28,8;0,5;37,0;3,51;27,9;0;0;0;0
2012-02-14;-0,2;2,4;160,0;11,9;45,0;2,0;41,0;5,18;30,0;0;0;0;0
2012-02-15;1,4;4,1;200,0;28,1;70,9;2,3;37,0;7,16;23,9;0;0;0;0
2012-02-16;2,9;0,5;170,0;14,4;37,1;2,8;35,0;4,61;23,8;0;0;0;0
2012-02-17;3,9;0,6;160,0;16,6;43,9;3,2;34,0;4,17;21,5;0;0;0;0
2012-02-18;7,8;1,5;120,0;7,9;20,9;4,1;35,0;4,28;22,3;0;0;0;0
2012-02-19;4,0;2,2;80,0;11,9;43,2;4,2;36,0;3,92;22,6;0;0;0;0
2012-02-20;1,4;0,0;60,0;7,2;18,7;3,8;37,0;3,37;23,7;0;0;0;0
2012-02-21;3,2;0,0;70,0;5,0;15,5;3,1;38,0;3,17;28,7;0;0;0;0
2012-02-22;7,0;0,0;70,0;6,1;20,5;3,0;37,0;3,31;26,2;0;0;0;0
2012-02-23;7,7;0,2;50,0;13,0;40,7;3,6;33,0;3,54;22,3;0;0;0;0
2012-02-24;13,4;0,0;20,0;11,9;31,7;5,2;37,0;3,76;27,5;0;0;0;0
2012-02-25;8,3;0,2;0,0;11,5;29,5;5,5;46,0;4,88;43,2;0;0;0;0
